demand_node_index,truck_node_index,distance,scaled_demand
demand22,truck1,526.3691889430963,0
demand22,truck6,478.68345949889374,0
demand22,truck7,457.0925390694701,0
demand22,truck8,410.3337235288263,0
demand22,truck17,156.17786592075834,7
demand22,truck27,330.59361843073077,0
demand22,truck29,178.53418875428,6
demand22,truck33,253.34248225981491,2
demand22,truck34,229.81510381760333,4
demand22,truck35,220.63672222788438,4
demand22,truck36,243.7207897301788,3
demand22,truck37,324.46454198397646,0
demand22,truck43,354.1738686475471,0
demand22,truck49,428.9464545852542,0
demand22,truck54,167.97364399844164,7
demand26,truck1,624.2711461209163,0
demand26,truck6,576.5854166767137,0
demand26,truck7,554.99449624729,0
demand26,truck8,508.8918079816604,0
demand26,truck17,254.9522198614714,1
demand26,truck27,329.83396675539467,0
demand26,truck29,177.7745370789439,3
demand26,truck33,126.83976749173655,4
demand26,truck34,164.3169479785677,3
demand26,truck35,209.01817267493087,2
demand26,truck36,232.1022401772253,2
demand26,truck37,313.17984954016856,0
demand26,truck43,342.5553190945936,0
demand26,truck49,302.4437398171758,0
demand26,truck54,194.09854552171768,3
demand33,truck1,527.4069537729221,0
demand33,truck6,479.7212243287195,0
demand33,truck7,458.1303038992958,0
demand33,truck8,412.0276156336662,0
demand33,truck17,314.9998323587929,0
demand33,truck27,175.15731451955608,25
demand33,truck29,180.89630003012897,24
demand33,truck33,303.84593358677927,0
demand33,truck34,240.06173952533962,12
demand33,truck35,194.6810198930191,21
demand33,truck36,173.31852557200872,25
demand33,truck37,97.22118179026566,40
demand33,truck43,283.771604489377,3
demand33,truck49,451.0550551509877,0
demand33,truck54,254.14615801903918,9
demand34,truck1,621.3908166893444,0
demand34,truck6,573.7050872451418,0
demand34,truck7,552.1141668157181,0
demand34,truck8,506.0114785500885,0
demand34,truck17,252.0718904298995,1
demand34,truck27,306.2301258202879,0
demand34,truck29,154.17069614383712,4
demand34,truck33,73.76273903915067,5
demand34,truck34,68.37840948059437,5
demand34,truck35,113.07963417695751,5
demand34,truck36,136.16370167925194,4
demand34,truck37,217.24131104219524,2
demand34,truck43,246.61678059662023,1
demand34,truck49,269.10696692087,1
demand34,truck54,191.21821609014577,3
demand38,truck1,712.0716638440474,0
demand38,truck6,664.3859343998448,0
demand38,truck7,642.7950139704211,0
demand38,truck8,596.6923257047914,0
demand38,truck17,342.75273758460247,0
demand38,truck27,396.91097297499084,0
demand38,truck29,244.8515432985401,14
demand38,truck33,134.83164715852578,41
demand38,truck34,159.05925663529732,35
demand38,truck35,203.7604813316605,24
demand38,truck36,226.84454883395492,18
demand38,truck37,307.9221581968982,0
demand38,truck43,205.52086581783922,24
demand38,truck49,168.5596056740742,33
demand38,truck54,281.8990632448487,5
demand40,truck1,753.1604705946555,0
demand40,truck6,705.4747411504529,0
demand40,truck7,683.8838207210292,0
demand40,truck8,637.7811324553995,0
demand40,truck17,383.8415443352105,0
demand40,truck27,437.9997797255988,0
demand40,truck29,285.940350049148,2
demand40,truck33,192.7916567394957,13
demand40,truck34,200.1480633859053,12
demand40,truck35,244.84928808226843,7
demand40,truck36,228.41182832902152,9
demand40,truck37,309.4894376919648,0
demand40,truck43,123.0247937487199,22
demand40,truck49,183.2922795785912,15
demand40,truck54,322.9878699954567,0
demand41,truck1,618.4950880542724,0
demand41,truck6,570.8093586100697,0
demand41,truck7,549.2184381806461,0
demand41,truck8,503.1157499150164,0
demand41,truck17,425.62379746965536,0
demand41,truck27,285.78127963041845,2
demand41,truck29,291.52026514099134,1
demand41,truck33,358.4675111310576,0
demand41,truck34,296.10771312408,1
demand41,truck35,250.72699349175952,7
demand41,truck36,229.36449917074913,11
demand41,truck37,153.30322218050392,22
demand41,truck43,179.67042564282232,18
demand41,truck49,350.2047707995642,0
demand41,truck54,364.7701231299016,0
demand51,truck1,448.86932086014855,0
demand51,truck6,418.9182510611221,0
demand51,truck7,379.5926709865223,0
demand51,truck8,331.53922202947933,0
demand51,truck17,103.82686181681323,49
demand51,truck27,321.49342875057107,0
demand51,truck29,233.1692559833572,17
demand51,truck33,306.98044480755004,0
demand51,truck34,284.45017104668057,4
demand51,truck35,275.2717894569615,6
demand51,truck36,298.355856959256,0
demand51,truck37,379.09960921305367,0
demand51,truck43,408.8089358766243,0
demand51,truck49,482.5844171329893,0
demand51,truck54,160.67592948802363,35
